Title;Type;Issn
AICT 2013 - 7th International Conference on Application of Information and Communication Technologies, Conference Proceedings;conference and proceeding;-
20th Saint Petersburg International Conference on Integrated Navigation Systems, ICINS 2013 - Proceedings;conference and proceeding;-
2013 IEEE International Autumn Meeting on Power, Electronics and Computing, ROPEC 2013;conference and proceeding;-
Society of Petroleum Engineers - SPE Reservoir Characterisation and Simulation Conference and Exhibition, RCSC 2013: New Approaches in Characterisation andModelling of Complex Reservoirs;conference and proceeding;-
2013 International Conference Oriental COCOSDA Held Jointly with 2013 Conference on Asian Spoken Language Research and Evaluation, O-COCOSDA/CASLRE 2013;conference and proceeding;-
Research in Engineering Education Symposium, REES 2013;conference and proceeding;-
2013 IEEE International Conference on Computational Intelligence and Computing Research, IEEE ICCIC 2013;conference and proceeding;-
Information Systems Development: Reflections, Challenges and New Directions;conference and proceeding;-
2013, 7th International Conference on Signal Processing and Communication Systems, ICSPCS 2013 - Proceedings;conference and proceeding;-
Synergies Algerie;journal;ISSN 22605029, 19585160
2013 International Conference on Reconfigurable Computing and FPGAs, ReConFig 2013;conference and proceeding;-
2013 8th IEEE Design and Test Symposium, IDT 2013;conference and proceeding;-
i-CREATe 2013 - International Convention on Rehabilitation Engineering and Assistive Technology, in Conjunction with SENDEX 2013;conference and proceeding;-
ASME 2013 Summer Bioengineering Conference, SBC 2013;conference and proceeding;-
ASME 2013 International Technical Conference and Exhibition on Packaging and Integration of Electronic and Photonic Microsystems, InterPACK 2013;conference and proceeding;-
Zograf;journal;ISSN 03501361
Proceedings of the 17th International Conference of Hong Kong Society for Transportation Studies, HKSTS 2012: Transportation and Logistics Management;conference and proceeding;-
Geotechnical Safety and Risk IV - Proceedings of the 4th International Symposium on Geotechnical Safety and Risk, ISGSR 2013;conference and proceeding;-
2013 IEEE SOI-3D-Subthreshold Microelectronics Technology Unified Conference, S3S 2013;conference and proceeding;-
CARE 2013 - 2013 IEEE International Conference on Control, Automation, Robotics and Embedded Systems, Proceedings;conference and proceeding;-
ICET 2013 - 2013 IEEE 9th International Conference on Emerging Technologies;conference and proceeding;-
23rd Annual International Symposium of the International Council on Systems Engineering, INCOSE 2013;conference and proceeding;-
IEEE CONECCT 2014 - 2014 IEEE International Conference on Electronics, Computing and Communication Technologies;conference and proceeding;-
OCEANS 2013 MTS/IEEE - San Diego: An Ocean in Common;conference and proceeding;-
ASME 2013 Conference on Frontiers in Medical Devices: Applications of Computer Modeling and Simulation, FMD 2013;conference and proceeding;-
26th International Conference on Computer Applications in Industry and Engineering, CAINE 2013;conference and proceeding;-
Workshop Proceedings of the 21st International Conference on Computers in Education, ICCE 2013;conference and proceeding;-
IMSCI 2013 - 7th International Multi-Conference on Society, Cybernetics and Informatics, Proceedings;conference and proceeding;-
Computer, Intelligent Computing and Education Technology - Selected Peer Reviewed Papers From 2014 International Conference on Computer, Intelligent Computing and Education Technology, CICET 2014;conference and proceeding;-
ASME 2013 Gas Turbine India Conference, GTINDIA 2013;conference and proceeding;-
Innovation, Communication and Engineering - Proceedings of the 2nd International Conference on Innovation, Communication and Engineering, ICICE 2013;conference and proceeding;-
Sustainable Water Management Conference 2013;conference and proceeding;-
2013 TAC Conference and Exhibition - Transportation: Better - Faster - Safer, TAC/ATC 2013;conference and proceeding;-
3rd EAGE CO2 Geological Storage Workshop: Understanding the Behaviour of CO2 in Geological Storage Reservoirs;conference and proceeding;-
Lecture Notes in Statistics;conference and proceeding;ISSN 21977186, 09300325
2012 TAC Conference and Exhibition - Transportation: Innovations and Opportunities, TAC/ATC 2012;conference and proceeding;-
International Conference on Integrated Modeling and Analysis in Applied Control and Automation;conference and proceeding;ISSN 23052139
ECMOR 2012 - 13th European Conference on the Mathematics of Oil Recovery;conference and proceeding;-
19th Intelligent Transport Systems World Congress, ITS 2012;conference and proceeding;-
GeoInformatics 2013 - 12th International Conference on Geoinformatics: Theoretical and Applied Aspects;conference and proceeding;-
2nd International Conference on Engineering Geophysics;conference and proceeding;-
Voprosy Prakticheskoi Pediatrii;journal;ISSN 18177646
AUVSI Unmanned Systems 2013;conference and proceeding;-
Society of Petroleum Engineers - SPE Asia Pacific Oil and Gas Conference and Exhibition, APOGCE 2013: Maximising the Mature, Elevating the Young;conference and proceeding;-
Chip in Curitiba 2013 - SBCCI 2013: 26th Symposium on Integrated Circuits and Systems Design;conference and proceeding;-
New Geotechnology for the Old Oil Provinces;conference and proceeding;-
Near Surface Geoscience 2013;conference and proceeding;-
ICSJ 2013 - IEEE CPMT Symposium Japan;conference and proceeding;-
74th EAGE Conference and Exhibition Incorporating SPE EUROPEC 2012;conference and proceeding;-
Sustainable Earth Sciences, SES 2013: Technologies for Sustainable Use of the Deep Sub-Surface;conference and proceeding;-
PGCE 2013 - Petroleum Geoscience Conference and Exhibition 2013: Innovative Geoscience: Securing Energy Needs;conference and proceeding;-
BMVC 2012 - Electronic Proceedings of the British Machine Vision Conference 2012;conference and proceeding;-
BMVC 2013 - Electronic Proceedings of the British Machine Vision Conference 2013;conference and proceeding;-
Modelling and Simulation 2013 - European Simulation and Modelling Conference, ESM 2013;conference and proceeding;-
Near Surface Geoscience 2012;conference and proceeding;-
Fault and Top Seals: From Characterization to Modelling;conference and proceeding;-
Proceedings - 2013 International Conference on Emerging Trends in Communication, Control, Signal Processing and Computing Applications, IEEE-C2SPCA 2013;conference and proceeding;-
Russkaia Literatura;journal;ISSN 01316095
2013 23rd International Conference on Field Programmable Logic and Applications, FPL 2013 - Proceedings;conference and proceeding;-
EUROCORR 2013 - European Corrosion Congress;conference and proceeding;-
2013 4th National Conference on Computer Vision, Pattern Recognition, Image Processing and Graphics, NCVPRIPG 2013;conference and proceeding;-
14th International Scientific Conference on Electric Power Engineering 2013, EPE 2013;conference and proceeding;-
4th International Conference on Current Problems in Nuclear Physics and Atomic Energy, NPAE 2012 - Proceedings;conference and proceeding;-
2013 4th International Symposium on Electrical and Electronics Engineering, ISEEE 2013 - Proceedings;conference and proceeding;-
ICICS 2013 - Conference Guide of the 9th International Conference on Information, Communications and Signal Processing;conference and proceeding;-
Society of Petroleum Engineers - Asia Pacific Unconventional Resources Conference and Exhibition 2013: Delivering Abundant Energy for a Sustainable Future;conference and proceeding;-
1st IEEE International Symposium on Inertial Sensors and Systems, ISISS 2014 - Proceedings;conference and proceeding;-
2013 IEEE MTT-S International Microwave and RF Conference, IMaRC 2013;conference and proceeding;-
2013 IEEE Conference Anthology, ANTHOLOGY 2013;conference and proceeding;-
Saint Petersburg 2012 - Geosciences: Making the Most of the Earth's Resources;conference and proceeding;-
Integrated Reservoir Modelling: Are We Doing it Right?;conference and proceeding;-
2013 4th IEEE International Symposium on Power Electronics for Distributed Generation Systems, PEDG 2013 - Conference Proceedings;conference and proceeding;-
Society of Petroleum Engineers - SPE Intelligent Energy International 2013: Realising the Full Asset Value;conference and proceeding;-
2012 14th International Conference on Megagauss Magnetic Field Generation and Related Topics, MEGAGAUSS 2012;conference and proceeding;-
Proceedings of the Conference on the Industrial and Commercial Use of Energy, ICUE;conference and proceeding;ISSN 21660581, 2166059X
AWWA/AMTA 2014 Membrane Technology Conference and Exposition;conference and proceeding;-
2013 7th International Conference on Distributed Smart Cameras, ICDSC 2013;conference and proceeding;-
Proceedings WODCON XX - Congress and Exhibition: The Art of Dredging;conference and proceeding;-
Freiburger Zeitschrift fur Philosophie und Theologie;journal;ISSN 00160725
Saint Petersburg Russia - From Fundamental Science to Deployment: 17th European Symposium on Improved Oil Recovery, IOR;conference and proceeding;-
ASME/BATH 2013 Symposium on Fluid Power and Motion Control, FPMC 2013;conference and proceeding;-
Annual International Conference of the Computer Measurement Group, CMG 2013;conference and proceeding;-
2013 Conference on Lasers and Electro-Optics Europe and International Quantum Electronics Conference, CLEO/Europe-IQEC 2013;conference and proceeding;-
62nd IIE Annual Conference and Expo 2012;conference and proceeding;-
IIE Annual Conference and Expo 2013;conference and proceeding;-
Lexia;book serie;ISSN 17205298
Proceedings - 2014 6th International Conference on Measuring Technology and Mechatronics Automation, ICMTMA 2014;conference and proceeding;-
Information Technology and Computer Application Engineering - Proceedings of the 2013 International Conference on Information Technology and Computer Application Engineering, ITCAE 2013;conference and proceeding;-
Etnograficeskoe Obozrenie;journal;ISSN 08695415, 00385050
Asia Ascending: Age of the Sustainable Skyscraper City - A Collection of State-of-the-Art, Multi-Disciplinary Papers on Tall Buildings and Sustainable Cities, Proc. of the CTBUH 9th World Congress;conference and proceeding;-
JICTEE 2014 - 4th Joint International Conference on Information and Communication Technology, Electronic and Electrical Engineering;conference and proceeding;-
2014 Power and Energy Systems Conference: Towards Sustainable Energy, PESTSE 2014;conference and proceeding;-
Proceedings of 20th International Conference on Industrial Engineering and Engineering Management: Theory and Apply of Industrial Engineering;conference and proceeding;-
Radix;journal;ISSN 01654322
2014 Information Theory and Applications Workshop, ITA 2014 - Conference Proceedings;conference and proceeding;-
